Data,hora,ação,gpio
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:19,INCENDIO,-1,-1
